,Анекдоты
835,"Мужик сидит в лодке, рыбачит. Мимо проплывает лягушка:
- Мужчина, а можно я у вас в лодке погреюсь?
- Ну ладно, залезай…
Лягушка залезает, томно разваливается в лодке и кокетливо спрашивает:
- А как вас зовут, мужчина?
- Алексей Николаевич.
В этот момент мимо проплывает еще одна лягушка:
- Ой, а можно и я тоже погреюсь?
Первая лягушка:
- А не пошла бы ты на хуй!! Правильно я говорю, Алексей Николаевич?

"
836,"— Здравствуйте! Хочу снять у вас комнату.
— А вы не будете устраивать пьяные оргии?
— Нет.
— (((

"
837,"Бомж подходит к сидящей на скамейке девушке, долго роется в недрах своих одежд, достает оттуда яблоко, плюет, вытирает рукавом и подает ей. Она брезгливо отдергивается.
Бомж:
— Я полагаю, о минете и речи быть не может?

"
838,"Состарился у мужика петух в деревне, кур совсем не топчет, надо нового.
Приносит нового, молодого, запускает к курам. Старый подходит к молодому, говорит:
— Ну, я старый уже стал, само собой понятно, что все куры твои, но дай мне хоть уйти достойно, давай с тобой забег вокруг курятника устроим, ты мне поддашься, я впереди тебя побегу, хоть перед курами не опопзорюсь под конец.
Ну, молодой такой — да давай, не вопрос, поддамся, не робей.
Ну, бегут они, значит, старый впереди, молодой чуть отстаёт. Хозяин видит это, на бегу хватает молодого и ломает ему шею со словами: ""Блядь, да что ж такое, третий петух пидорас!"".

"
839,"Цирк. Смертельный номер с тиграми. Дрессировщик объявляет: –Я, сейчас засуну свой член в пасть этому тигру и продержу его там в течении минуты!
Публика в трансе, гробовая тишина, все замерли…Дрессировщик берет плетку и начинает бить бедного тигра по голове.
БАЦ..–открыть пасть!
БАЦ..–сидеть смирно!
Засовывает в пасть свой член…
БАЦ..–закрыть пасть!
проходит минута, он опять бьет тигра по голове и достает на обозрение толпы свое хозяйство, дескать — вот смотрите какой я обалденный!
И тут–же обращаясь к залу задает вопрос: –Кто–нибудь смог бы повторить этот трюк??? Все конечно сидят молчат…очко у всех жим––жим!
Тут спускается хрупкая блондинка со словами: –Ну давайте я попробую что–ли! Только Вы, мужчина, по голове меня не бейте!…

"
840,"Бухают на кухне два алкаша
- Слушай, а где твоя жена?
- В Минске
- О! Минск! Пиздатый холодильник

"
841,"Чипполино ненавидел хипстеров.
Да и за что ему любить тех, кто обожает ебашить лук.

"
842,"Приходит Кощей Бессмертный к Бабе Яге, а у той в избе разруха, мебель вся разломана, посуда побита, и лишь на печи лежит чудовищных размеров хуй.

"
843,"- Здоров, бабка! Че за погром у тебя тут? Откуда хуй такой огромный на печи?
- Да вот приходил вчера Иван-Царевич, привел с собою Василису Прекрасную. И как начал ее ебать! И на столе выебал, и на полатях, и на лавке, и под лавкою! И на полу ебал, и у стены ебал, вдоль и поперек ее всю выебал!
- Так откуда хуй-то?
- А, это... Дак это кот мой, Васенька, на печи-то лежал, бедолашный... Лежал, смотрел на все это... Вот и охуел!

"
844,"Лондон. Утро. Старый английский лорд завтракает.
Вбегает дворецкий и кричит:
- Сэр! Темза вышла из берегов!!!
Лорд флегматично:
- Джон, выйдите, потом зайдите и доложите как следует.
Дворецкий выходит, потом снова вбегает и кричит:
- Сэр! Темза уже у нашего дома!!!
- Джон, выйдите, потом зайдите и доложите как следует.
Дворецкий выходит. Открывается дверь, степенно входит дворецкий, за ним в комнату врываются потоки воды:
- Темза, сэр!

"
845,"Приезжает мужик на рыбалку. Надувает лодку, заплывает на середину реки, бросает якорь, сидит рыбачит. Тут небеса разверзлись, ураган, лодку переворачивает, и голос с неба:
- Плюс два или минус два?!?!?!
Мужик такой думает, бля чо ответить-то:
- Ну, плюс два!!!
Погода сразу нормальная, лодку обратно переворачивает, мужика невидимая сила забрасывает обратно в лодку. Он в ахуе гребёт к берегу, собирает монатки и уезжает домой.
Дома идёт в душ, думает об этом всём, тут смотрит на своё хозяйство, а у него стало четыре яйца. Вот блять, думает, поеду обратно, может ещё разок прокатит, скажу ""минус два"", всё станет нормально.
Ну приехал снова на реку, заплыл на лодке на середину, сидит рыбачит, ждёт. Ну и небеса разверзлись, лодка перевернулась, мужик в воде бултыхается, а голос с неба такой:
- Плюс четыре или минус четыре?!

"
846,"Пошел рыбак на рыбалку. На берегу реки поставил палатку, а сам решил немного отдохнуть с дороги. Лежит он и слышит где-то вдадеке крик:
- И-иди на хуй!!!
Через некоторое время уже ближе:
- И-и-иди на хуй!!!
Прошло еще немного времени, а тут уже совсем близко тот же самый крик.
Решил тогда мужик посмотреть что там такое. Вылез из палатки и видит: по реке, в лодке, плывет другой мужик, а вместо весел у него-ложки. Рыбак тому мужику-то и говорит:
- Ты бы еще вилки взял!
А ему в ответ:
- И-и-и-иди на хуй!!!

"
847,"Шотландец возвращается из Лондона в свой родной поселок, и его сразу обступают соплеменники:
- Ну что, Гленн, как тебе Лондон?
- Город ничего так. Великолепная архитектура, непередаваемый колорит. Но англичане мне очень не понравились - ужасно дерганые, нервные, невоспитанные. Вот представьте себе: я нахожусь в своем гостиничном номере, три часа ночи, и вдруг ко мне в комнату вбегает англичанин, начинает вопить и размахивать руками. Потом вбегают еще двое и тоже начинают безобразничать. Потом еще четверо. И все это среди ночи!
- Да что ты говоришь! Ну а ты что?
- А что я? Как истинный шотландец, я сохранял достоинство и продолжал играть на своей волынке.

"
848,"Приходит женщина в секс-шоп и говорит:
- Дайте мне во-о-он тот синенький фаллоимитатор, пожалуйста. Да-да. И вон тот желтенький еще. И вот этот красненький, пожалуйста.
- А красненький не продается.
- Почему?
- Это служебный.

"
849,"К солдатам на армию приезжает стриптиз-танцовщица и вечером показывает
стриптиз. После сброшенного пальто - аплодисменты. После сброшенного
платья огромные аплодисменты. После сброшенного лифчика изумительные
аплодисменты.
После сброшенных трусиков... тишина.
Танцовщица так и так повернется -... тишина!
Она спрашивает: разве я вам больше не нравлюсь....?
Кто-то из зала шепчет:
- Одной рукой не поаплодируешь...

"
850,"Дорогой! Смотри, какое колечко! Какое миленькое колечко! Купи, купи, купи! Ну купи, купи!
— Л–а–адно!.. Девушка, дайте вон то кольцо с творогом и Балтику девятку!

"
851,"В холодной воде Людовик XVI становится Людовиком XII.

"
852,"Еврейская семья собирает корзинку с пирожками еврейской Красной Шапочке и даёт ей напутствия:
- Таки слушай сюда. Когда ты придёшь до бабушки, она сразу тебе таки будет плакаться, что, ой вэй, зима совсем скоро, из щелей дует, кран подтекает, топить нечем, крыша прохудилась, денег нет совершенно и вообще, шо ты, внучка, знаешь за эту жизнь. Но ты таки ничего не слушай, а твёрдо стой на своём: с капустой - по 5, с мясом - по 8!

"
853,"Пришел к Александру Македонскому ученый и мудрец чтобы представить свое изобретение — катапульту, метавшую огромного размера стрелы. Продемонстрировав работу устройства, мудрец склонил голову ожидая слова царя.
— И как же ты назвал эту машину?
— Великий, это баллиста.
— Отсоси у тракториста.

"
854,"Вызванивает лиса зайца с медведем, типа помогите с переездом, мебель на этаж затащить и всё такое. те приходят, затаскивают. лиса такая - ну что, мужики, бутылку или трусы снимаю? медведь с зайцем пожали плечами, дава типа бутылку. идут с бутылкой. заяц говорит медведю:
- слыш, а мы правильно сделали, что бутылку выбрали.
- почему?
- мне бы её трусы велики были, а тебе слишком маленькие

"
855,"После смерти попадают Асад, Обама и Путин на ковёр к Дьяволу. И говорит им Дьявол:
– Вообще-то по процедуре, если кто-то из вас научит меня подлости против рода человеческого, новой, какой я не знаю, я обязан отпустить вас в рай.
Первым слово берёт Асад: – А не пробовали ли вы травить мирное население химическим оружием?
– Знаю, было.
Обама: – А может попытаться всю страну сровнять с землёй?
– Тоже знаю. Было.
Путин: – А можно я вам на ухо кое-что скажу?
Дьявол: – Ну давай. – и наклоняется к Путину.
Путин что-то шепчет на ухо Дьяволу, у последнего вытягивается лицо, падает челюсть и лезут глаза из орбит:
– Вова, побойся Бога!!!

"
856,"У моей бывшей был попугай. Эта ебаная тварь никогда не затыкалась, а вот птичка классная была.

"
857,"Эстонцы любят стоять у клетки с ленивцем и подолгу наблюдать, как резвится этот подвижный зверёк.

"
858,"Выходит Колобок из душа и говорит:
- Бля, голову помыть забыл.

"
859,"Учительница биологии: дети, сегодня я расскажу вам об осьминогах.
Осьминоги живут на дне океана. Передвигаются при помощи щупалец. Сначала очень медленно. Ползут по песку, ползут.
По направлению к берегу. Сначала медленно, потом чуть быстрее. Затем ускоряются и уже на полной скорости бегут к берегу,
выбегают на берег, дальше, дальше, ускоряются, через равнины, пустыни, стремительно несутся к горам, набирают скорость,
на громадной скорости вбегают на гору, с вершины — в небо, в стратосферу, затем в космос…
— Мария Ивановна, мне кажется, Вы нам неправду рассказываете! — голос с первой парты.
— Девочка, как твоя фамилия?
— Иванова.
— Где у нас журнал? Так и запишем: «Иванова — ебанутая»!

"
860,"Один батюшка строил церковь. И все бы хорошо, но колокольня все время падала. Построят - упадет. Снова построят - снова упадет. И вот явился к батюшке ангел божий и изрек: ""Вмуруй жену свою в фундамент и в веках простоит Храм твой"". Жену юную батюшка очень любил, но Господа тоже любил. И храм строить нужно. Погоревал, поплакал, попрощался с женой (а она была барышня богобоязненная, надо так надо) и таки замуровал.
А колокольня все равно упала.
Потому что сопромат не наебешь.

"
861,"- Сидим на лавочке, рядом с лавочкой совокупляются кот с кошкой, обычное дело.
Выходит тетка, начинает звать:
- Барсик, Барсик.
Один из моих друзей:
- Проблема в том, что ваш Барсик занят.
- Да нет, это не проблема. Проблема в том, что он снизу…

"
862,"- Ты меня заебала своими вопросами!
- Почему?!

"
863,"В стране комендантский час в 10.
9:50. Два мента стоят и разговаривают на станции метро. Тут с
эскалатора сбегает мужичек и скорее направляется к поезду. Один мент достает
пистолет и стреляет мужику в спину. Мужик падает.
— Ты зачем его пристрелил? Ещё ж 10 минут до начала!
— Да я его знаю, он далеко живет, все–равно до дома бы не успел.

"
864,"- Уау! Смотри, какая девчонка!
- Да, клёвая.
- Давай познакомимся.
- Давай!
- Костя.
- Кирилл.

"
865,"- Свет мой зеркальце скажи, да всю правду доложи. Я ль на свете всех милее, всех румяней и белее?
- Ты прекрасна, спору нет. Но румяней и белее одновременно - это полный пиzдец, дура ты ебанутая.

"
866,"Приходит мужик в посудо-хозяйственный магазин:
- Дайте мне булку хлеба!
- Да вы что? У нас же чайники-кастрюли! Нет у нас хлеба!
- Ах нет? -и дает продавщице в глаз.
На следующий день история повторяется (только дает он ей уже в другой глаз).
Вечером она приходит домой и жалуется мужу. Тот дает ей совет:
- Купи булку хлеба, да и продай ему. Она так и сделала. Снова приходит мужик, а продавщица ему:
- Вот ваш хлеб!
- Хлеб я уже в аптеке купил, дайте мне сметаны!

"
867,"Диалог доктора с пациентом:
- Курите?
- Да.
- Пьете?
- Да.
- Ну так что вы хотите после этого?
- Поебаться!

"
868,"В аптеке:
- Девушка, дайте мне 30 пачек презервативов.
- Пакет нужен?
- Да нет! Что вы!! Она у меня красивая.

"
869,"— Познакомилась с парнем, через месяц решили жить вместе, снимали квартиру на пополам... Через год узнала, что квартира его.

"
870,"— Допустим если бы наступил зомби апокалипсис и некоторые из ваших родных стали зомби решились бы вы выстрелить в них?
— Я бы и в живых некоторых ебанул!

"
871,"Осел приходит ко льву: — А, схуяли это ты — Царь зверей, а не я?
Лев: — Я сильный!
Осел: — Да я тоже.
Лев: — Ну, у меня грива!
Осел: — Так, и у меня грива!
Лев: — А, у меня на хвосте — кисточка!!!
Осел: — И у меня кисточка!
Лев подумал и выдает:
— Я львицу свою могу 30 минут ебать!!!
Осел: — Так и я свою ослицу могу!!!
Ну решили устроить соревнование — оттянуть друг друга, кто дольше продержится, тот и выиграл.
Лев: — Чур, я — первый! Засекай!
Забирается на осла, 30 минут, все, кончил.
Очередь осла. 15 минут проходит, 20… Лев начинает нервничать.
Лев набирает телефон львицы:
— Милая, что ты делаешь чтобы я быстрее кончил?
Она: — Ну, я попой так виляю…
Лев начинает вертеть задницей — ослу хоть бы хны. 24 минуты.
Лев набирает телефон любовницы: — Слушай, пантера, что ты делаешь чтобы я быстрее кончил?!!
Пантера: — Я так тебя нежно коготками тебя за яички трогаю, ты вмиг кончаешь!
Лев, продолжая лихорадочно вихлять задом, хватает осла когтями за яички и осел, на 26–й минуте, бурно кончает.
Лев: — Ну что, осел, я царь зверей?!!
Осел на него так смотрит в эйфории:
— Нет, Лёва, ты не царь… ты бог!!!

"
872,"Идет около реки дед с внучкой. По реке плывёт говно. Внучка спрашивает :
— Дедушка, откуда говно.
Дедушка в ответ :
— Это было давно… Жили здесь принц и принцеса, и очень друг друга любили.
Однажды принц уехал на войну и гонец принёс новость что принц пропал безвести… Принцеса от горя утопилась в этой самой реке. А принц вернулся домой, и узнав что его любимая мертва тоже утопился в этой реке
— Дедушка, а говно–то откуда?
— А я почём знаю, насрал кто–то.

"
873,"Наташа поручику:
- Поручик, а вы пробовали относиться к людям так, как хотели бы чтобы они относились к Вам?
- Я что, по-вашему, всем хуи сосать должен?

"
874,"Заходит наркоман в аптеку за пипетосом, а сзади в очередь мент становится. Подходит к кассе и спрашивает недрогнувшим голосом: ""Скажите, а борная кислота и борный спирт это же одно и то же?"" - ""Ну да, полное название ""раствор спиртовый борной кислоты"" - ""Замечательно, тогда дайте пипетос...""

"
875,"- Мам, ты поесть приготовила?
- Конечно, приготовила. Я твою приправу в суп бросила! Ту, что в коробке была! Хе-хе! В коробке-моробке! Ха-ха-ха! Приправа-миправа в коробке-моробке!

"
876,"После удачного дня врач возвращается домой в приподнятом настроении, раздевается, принимает ванну, выскакивает из ванной голый и запрыгивает к под одеяло. Жена, как обычно:
- Ой, у меня сегодня так болит голова!
- Великолепно! В ванной я как раз посыпал член аспирином и ты сможешь принять его перорально или как вагинальный суппозиторий.

"
877,"К новому русскому на улице подкатывает грязный бомж и просит:
— Трахни меня в жопу!
НР:
— Ты с дуба рухнул?
Бомж:
— Десять тысяч долларов дам за ЭТО!
НР подумал, что такие бабки на земле не валяются, и согласился. Отошли они в подворотню. Там НР засадил бомжу, а тот стонет по ходу процесса:
— Давай! Вгоняй меня в долги! Вгоняй!!!

"
878,"Сидят у камина двое почтенных господ, выпивают. И вот один говорит:

"
879,"- А спорим, голубчик, я Вам на лоб смогу вот-такусенькую маленькую точку насрать?
- Да полно Вам, милейший, разве сие под силу человеку?
- Угодно ль вам заключить пари?
- Извольте.

"
880,"Садится один на лицо другому, пытается аккуратно посрать, но не выдерживает и засирает тому всю голову и пол-комнаты впридачу. Второй, отряхиваясь и вытирая говно с лица:

"
881,"- Сдается мне, милейший, вы все-таки проиграли.

"
882,"Ударилась лягушка о землю и стала девицей прекрасной.
Ударилась второй раз и стала месивом кровавым.
Раз на раз не приходится.

"
883,"- Перемен требуют наши сердца!
- Цой, не паясничайте. Звонок для учителя.

"
884,"Пришел к Александру Македонскому ученый и мудрец, чтобы представить изобретение — небольшой кусок ткани, который можно пришивать к любым одеждам и носить в нем все, что угодно. Рассказав о достоинствах своего простого, но очень практичного изобретения, мудрец склонил голову, ожидая слова царя.
— И как же ты назвал этот кусок ткани?
— Великий, это карман.
— Я ебал твою маман.

"
885,"Препод:
- Ладно ставлю три с натяжкой.
Студентка:
- Ураа!!!!!
Препод:
- Но сначала натяжка...

"
886,"Стоит мужик утром на остановке, мимо пробегает какой-то спортсмен, щелкает его легонько по носу и говорит:
- Дурачок.
И бежит дальше.
На следующее утро ситуация повторяется. Мужик вечером приходит домой, рассказывает жене про это. Та ему говорит, мол, забей, мало ли дураков всяких.
На следующее утро опять стоит мужик на остановке. Мимо пробегает тот же спортсмен, щёлкает его по носу и говорит:
- Ябеда.

"
887,"Пьяная Наташа уже почти успокоилась и перестала распевать песни в салоне самолёта. Но тут к ней подошла стюардесса по имени Жанна.

"
888,"Йогурт ""Растишка"" застоялся в холодильнике и стал йогуртом ""Дристашка"".

"
889,"-Молодой человек, в банк голым нельзя!
-Да я только за кредит заплатить...

"
890,"Закинул мужик невод в море. И стоит, как дурак, без невода!

"
891,"Приходит мужик в оружейный магазин.
— i need a gun
— what kind of gun?
— i need gun to shoot cans
— what kind of cans do you wanna shoot?
— you know… afriCANS, mexiCANS…

"
892,"Наташа Пьеру Безухову:
– Ах, Пьер, если б вы знали какой низкий человек поручик Ржевский.
– Да, низкий, когда мы ходили ебать лошадей, он всегда табуреточку подставлял.

"
893,"Танцуют на балу поручик Ржевский с Наташей Ростовой. Наташа заводит беседу:
— Поручик, скажите, а что вы делали вчера вечером?
— Кобылу на конюшне трахал-с!
— Поручик, это же низко!
— Кому низко, тот и табурет подставить может-с!
— Фи, поручик, какой же вы пошляк!
И ушла к другому кавалеру. Спрашивает у него:
— Скажите, корнет, как по-вашему, поручик Ржевский действительно такой пошляк, или он просто шалун?- Мадемуазель, пожалуй — просто шалун-с! К примеру, трахали мы вчера с ним на конюшне лошадь, так он все норовил из-под меня
табуретку выбить! Определенно шалун!

"
894,"Даже у воды есть три состояния, а ты за всю жизнь и одного не нажил.

"
895,"Заходят русский, американец и француз в ресторан и видят там мужик сидит кушает, они переглянулись и говорят «А ЭТО НЕ ИИСУС СЛУЧАЙНО?»
Русский подходит к нему и спрашивает: «Вы не Иисус?» Тот отвечает: «Да, я Иисус!».
Русский подходит к своим друзьям и докладывает...
Американец подходит к Иисусу и просит его больную ногу вылечить, Иисус прикладывает свою руку и американец становится совершено здоровым.
Француз подходит к Иисусу и просит его больную спину вылечить, процедура повторяется француз радостный дальше некуда...
Иисус покушал, подходит к этим трем и спрашивает русского: «А ты что совсем здоров?»
Русский отпрыгивает и кричит: «Не трожте меня, у меня еще две недели больничный!!!»

"
896,"Лепщица пельменей с 25-летним стажем, потрепав сына за щеку, машинально завернула ему лицо вовнутрь.

"
897,"— Вау, это было так круто
— Я просто с детства косточки из арбуза языком выковыривал

"
898,"Конец 70-ых, Ливан, гражданская война. Боевики Хизбаллы допрашивают пленного полевого командира из Амаля:
- Скажи, где находятся ваши позиции, иначе Джамиль явит тебе гнев ливанского народа.
- Не скажу!
- Джамиль! Яви же этому неверному гнев ливанского народа!
Подходит бородатый амбал Джамиль, достает огромный хуй и ебет пленного в жопу.
- Теперь скажешь?
- Не скажу!
- Джамиль!!!
Изнасилование повторяется.
- Ну а теперь скажешь?
- Да!
- Говори же!
- Я люблю тебя, Джамиль!

"
899,"Журналист ведет беседу с Борисом Моисеевым.
Журналист:
– Ну и последний вопрос: Борис, а вы видели голубей?
Моисеев:
– Чем кто?

"
900,"- Ватсон, вы что, гей?
- Как вы догадались, Шерлок?
- Я не догадался, я спросил

"
901,"Всех трупиков патологоанатом Валерка называл котиками.
Потому что у них носики холодные.

"
902,"Старого актера на пенсии пригласили подхалтурить в театр - заменить кого-то.

"
903,"И вот сидит от посреди сцены на лавочке, текста, естественно, не помнит, слушает суфлера.

"
904,"Суфлер: - Стар я стал.
Актер: - Стар я стал.
Суфлер: - Силы уже не те.
Актер: - Силы уже не те.
Суфлер: - медленно встает...
Актер: - Да и медленно встает.

"
905,"— Елизавета, любите ли вы сухое вино?
— А насыпай!

"
906,"— В наше насыщенное негативными новостями время надо произносить больше позитивных слов: счастье, радость, умиротворение...
— Умер от варенья?

"
907,"Поругался иностранец с девушкой. Она уходит, а он ей вслед кричит:
— Suck my dick, bitch!!
Подходит к нему бич и спрашивает:
— Сколько дашь?

"
908,"- Знаешь, зачем бабам нужен мозг?
- Зачем?
- Чтобы не пить воду из ведра пока полы моют.

"
909,"— У тебя какая машина?
— Лада Приора!
— Да ну, говно какое!
— Ну хрен его знает, тебе с ТРАМВАЯ виднее!

"
910,"- Алё, тебе удобно говорить?
- Нет, у меня Галакси Ноут.

"
911,"— Как же здорово вот так сидеть ночью под открытым небом, взявшись за руки. Смотри, звезда падает! Нужно загад...
— Давай ебаться?
— Давай.

"
912,"Два парня украли в магазине календарь и получили по полгода.

"
913,"В маршрутке молодая мама пытается покормить ребенка грудью:
— Кушай, а то дяде отдам.
Ребенок немного пососал и выплюнул, мама опять:
— Кушай, а то дяде отдам.
Рядом мужик:
— Вы уж определитесь, третью остановку из-за вас проезжаю!

"
914,"— Да тебе никогда не стать таким мужчиной как он!!!!
— Таким жирным? Или таким армянином?

"
915,"Мужик гуляет с собакой - огромным догом. Вдруг дог срывается с поводка, подбегает к гуляющей неподалеку девушке и начинает носом задирать ей юбку.
- Чего это он?! - спрашивает девушка хозяина.
- Наверное, запах из-под юбки.
- А вы что же стоите?!
- Так у меня насморк.

"
916,"Париж, автобус. Друг напротив друга сидят привлекательная молодая женщина и пожилой донжуан. С нескрываемым интересом он разглядывает свою попутчицу, затем наклоняется к ней и шепчет на ухо:
- Мадемуазель, если вы приподнимете свою юбку на 10 см, я заплачу вам 50 франков.

"
917,"Женщина кокетливо улыбается, приподнимает юбку, и довольный старик отдает ей 50 франков. И вдруг женщина говорит:
- Если вы дадите мне еще сто франков, я покажу вам место, где мне вырезали аппендицит.
- О-ла-ла, мадемуазель! Сию же минуту примите мои сто франков!
- Мерси. А вот и это место, мы как раз проезжаем мимо него, - сказала женщина, показывая на больницу за окном.

"
918,"Китайские дети утром делают зарядку, а вечером относят её в ""Евросеть""

"
919,"помню я в 43м... в окопе сидел... ноги болели.
потом обул 44й и всё нормально стало!

"
920,"Сидит девочка в песочнице и что-то лепит. Подходит мент, спрашивает:
- Девочка, что ты лепишь?
- Мента леплю.
- А из чего?
- Из песка, из глины, из говна...
- ЧТООО?? Ещё раз услышу - уши оторву!!!
Уходит, через 5 минут возвращается.
- Девочка, что ты лепишь?
- Пожарника леплю.
- А из чего?
- Из песка, из глины...
- А почему без говна?
- Так я если говна добавлю - мент получится!

"
921,"- Любимая! Что ты будешь пить: шампанское или пиво?
- Пожалуй, любимый, я буду шампанское. Когда я пью шампанское, я словно бы слышу мелодичный перезвон сотен колокольчиков, золотистые искорки пляшут в воздухе как тысячи бабочек и зовут меня танцевать вместе с ними под легкими пушистыми облачками; весь мир искрится и звенит.
А от пива у меня пердёж.

"
922,"заходит в древнем риме мужик в бар, поднимает два пальца и говорит:
- мне пять кружек пива, пожалуйста.

"
923,"Самая короткая и прекрасная сказка.

"
924,"Жил был один принц, который однажды спросил прекрасную принцессу:
— Ты выйдешь за меня замуж?
И она ответила: — НЕТ!!!
И принц жил долго и счастливо, ездил на охоту и рыбалку, каждый день встречался с друзьями, пил много пива, и нажирался в сопли, и играл в гольф, и раскидывал носки по дворцу, и не опускал крышку унитаза, и трахал служанок, соседок, и подружек, и пел в душе, и пердел когда ему вздумается, и громко рыгал, и чесал себе яйца.

"
925,"Конец.

"
926,"Идет мужик по лесу, вдруг увидел на земле лежит лампа волшебная. Потер он её и оттуда выскочил джин:
-я исполню 3 твоих желания, говори первое!
-джин! я хочу узнать, как люди умудряются нести всякую хуйню?
-ну это легко!
Джин открыл ему череп, вытащил оттуда мозг, и вставил вместо него кусок дерьма.
-какое второе будет желание?
-скажи триста!

"
927,"Был случай, когда к Чингисхану подошла жена одного князя, с просьбой освободить её родных.
Чингисхан сказал:
— Вот, перед тобой стоят твой муж, твой сын и твой брат. Я отпущу только одного, кого выбираешь?
Не задумываясь, она ответила:
— Брата.
— Объясни мне, почему?
Женщина сказала:
— Мужа я могу найти, сына я смогу родить, а вот брата не могу создать.
После услышанного Чингисхан расчленил и обоссал всех троих.

"
928,"Однажды в одном Городе один Мужчина предложил одной Женщине Все или Ничего. Женщина не смогла выбрать. И уехала Домой.

"
929,"- Я не попугай, 2 раза не повторяю.
- Что?
- Я не попугай, 2 раза не повторяю.

"
930,"Стоит узбек продает шашлык, подходит к нему мужчина и спрашивает:
- Из чего шашлык?
- Из баранины.
- Чем кормил барана?
- Ой, чем только не кормил, и красной икрой, и черной икрой.
- Налоговая инспекция. На 20 суток.
- За что?
- За-то что в стране кризис, а ты барана красной икрой, черной икрой кормишь.
- Брат прости а, первый раз, больше не повторится, вот возьми 20 палок шашлыка.
Отпустили его. На следующий день подходит мужик, и спрашивает:
- Из чего шашлык?
- Из баранины.
- Чем кормил?
- Не знаю, он у меня на свалке питается.
- Санэпидемстанция, на 20 суток.
Дает он ему двадцать палок шашлыка, и отпускают его. Подходит на следующий день мужик и спрашивает:
- Из чего шашлык?
- Из баранины.
- Чем кормил?
- Не знаю, даю 10 рублей, сам ходит питаться...

"
931,"- Однако, позвольте! Что ваша рука делает в моем кармане?!
- Ищет зажигалку.
- Вы что, не могли попросить?!
- Я стесняюся.

"
932,"Винни-Пух поспорил с Пятачком, что выпьет лужу.
Взял и выпил. Потом поспорил, что выпьет речку.
И тоже выпил. Поспорил, что озеро выпьет. И выпил.
Поспорил, что выпьет море. Пятачок думает: «Тут-то я и выиграю!» Но Винни-Пух выпил и море.
Через час Пятачок в ужасе бежит по лесу и кричит:
— Звери, спасайтесь! Винни писать захотел!

"
933,"В цирке на арену выходит ведущий, радом с ним мальчик.
— Уважаемые зрители! А сейчас этот мальчик, с феноменальной памятью, обоссыт тех, кто сидит на первых трёх рядах!
В зале шёпот, шорох. Люди с первых трёх рядов встают и двигают наверх.
— Уважаемые зрители! Куда же вы!? Повторяю, мальчик с феноменальной памятью!

"
